"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0500000US31033","Cheyenne County, Nebraska","9489","*****","8772","101","101","75","58","43","89","51","16","24","74","40","379","111","198","91","181","87",
"0500000US31035","Clay County, Nebraska","6088","*****","5584","91","23","10","27","25","2","5","0","15","194","77","258","62","165","65","93","18",
"0500000US31037","Colfax County, Nebraska","10563","*****","6883","725","345","226","637","436","2","4","3","6","1279","547","1414","725","930","630","484","450",
"0500000US31039","Cuming County, Nebraska","9000","*****","8147","115","39","23","73","61","19","16","3","4","214","111","505","144","385","136","120","37",
"0500000US31041","Custer County, Nebraska","10566","*****","10058","89","61","17","66","32","2","3","0","16","122","69","257","65","95","56","162","34",
"0500000US31043","Dakota County, Nebraska","21308","*****","11203","582","1618","328","541","143","680","89","0","19","4051","793","3215","709","2597","677","618","282",
"0500000US31045","Dawes County, Nebraska","8279","*****","7268","151","194","141","243","156","77","98","0","15","0","15","497","236","233","197","264","103",
"0500000US31047","Dawson County, Nebraska","24037","*****","16408","706","1689","267","169","116","192","56","99","112","3551","775","1929","436","1558","412","371","166",
"0500000US31049","Deuel County, Nebraska","1858","*****","1676","45","2","4","17","12","9","7","0","10","30","29","124","50","78","47","46","24",
"0500000US31051","Dixon County, Nebraska","5579","*****","4766","88","11","17","17","14","47","28","0","15","300","147","438","156","351","157","87","44",
"0500000US31053","Dodge County, Nebraska","37175","*****","32888","794","220","102","545","373","178","79","34","37","1141","533","2169","542","1375","510","794","145",
"0500000US31055","Douglas County, Nebraska","582638","*****","427980","1815","62372","1262","3513","679","24377","659","198","88","20832","1916","43366","2639","21045","1973","22321","1531",
"0500000US31057","Dundy County, Nebraska","1825","164","1775","158","4","9","1","2","0","10","0","10","23","30","22","23","8","8","14","21",
